       x [m]	       y [m]	     x/c [-]	     y/c [-]
  0.28045552	  0.00935866	  0.70404749	  0.02349370
  0.28327392	  0.00895373	  0.71112274	  0.02247718
  0.28609231	  0.00854864	  0.71819793	  0.02146027
  0.28891064	  0.00814324	  0.72527300	  0.02044256
  0.29172896	  0.00773771	  0.73234803	  0.01942453
  0.29454724	  0.00733192	  0.73942296	  0.01840584
  0.29736550	  0.00692592	  0.74649782	  0.01738663
  0.30018373	  0.00651979	  0.75357263	  0.01636709
  0.30300192	  0.00611335	  0.76064733	  0.01534679
  0.30582009	  0.00570682	  0.76772199	  0.01432624
  0.30863824	  0.00530011	  0.77479659	  0.01330524
  0.31145637	  0.00489325	  0.78187114	  0.01228388
  0.31427449	  0.00448632	  0.78894566	  0.01126234
  0.31709258	  0.00407926	  0.79602013	  0.01024045
  0.31991068	  0.00367217	  0.80309460	  0.00921850
  0.32272877	  0.00326503	  0.81016904	  0.00819644
  0.32554685	  0.00285790	  0.81724349	  0.00717439
  0.32836494	  0.00245077	  0.82431794	  0.00615234
  0.33118304	  0.00204369	  0.83139241	  0.00513043
  0.33400114	  0.00163666	  0.83846689	  0.00410862
  0.33681925	  0.00122969	  0.84554140	  0.00308697
  0.33963738	  0.00082282	  0.85261594	  0.00206559
  0.34245551	  0.00041601	  0.85969051	  0.00104433
  0.34527367	  0.00000934	  0.86676512	  0.00002346
  0.34809183	 -0.00039727	  0.87383976	 -0.00099730
  0.35091001	 -0.00080375	  0.88091444	 -0.00201772
  0.35372821	 -0.00121013	  0.88798916	 -0.00303788
  0.35654642	 -0.00161641	  0.89506392	 -0.00405778
  0.35936465	 -0.00202259	  0.90213871	 -0.00507745
  0.36218288	 -0.00242869	  0.90921353	 -0.00609691
  0.36500113	 -0.00283471	  0.91628838	 -0.00711618
  0.36781939	 -0.00324068	  0.92336325	 -0.00813530
  0.37063765	 -0.00364660	  0.93043814	 -0.00915432
  0.37345592	 -0.00405250	  0.93751303	 -0.01017327
  0.37627418	 -0.00445839	  0.94458793	 -0.01119222
  0.37909245	 -0.00486431	  0.95166282	 -0.01221123
  0.38191070	 -0.00527028	  0.95873769	 -0.01323037
  0.38472895	 -0.00567633	  0.96581253	 -0.01424970
  0.38754718	 -0.00608250	  0.97288732	 -0.01526932
  0.39036538	 -0.00648881	  0.97996207	 -0.01628932
  0.39318356	 -0.00689530	  0.98703675	 -0.01730977
  0.39600171	 -0.00730202	  0.99411135	 -0.01833078
  0.39834744	 -0.00673009	  1.00000000	 -0.01689503
