alpha,Cd,Cs,Cl,Cm
14.5,0.1611742901129504,2.0636849523562287e-21,1.0954905455944353,-0.1353749194140799
15.0,0.1787909947093641,2.041039187530902e-21,1.0592498894840852,-0.1421537713788302
15.5,0.1951565350095478,2.0230601709554725e-21,1.033512600869425,-0.1480173397315399
16.0,0.2096497192941613,2.00578736606078e-21,1.0235034962162166,-0.1525262612177296
16.5,0.2221342774069432,1.987791519744247e-21,1.0231496124338484,-0.1558927542904056
17.0,0.2333012723473559,1.970893655612006e-21,1.0228954974517024,-0.1586983431249863
17.5,0.2437705121296454,1.956008652157962e-21,1.0227422342655308,-0.1610576230506104
18.0,0.2541618047680573,1.944051387876018e-21,1.0226909058710845,-0.1630851893964166
18.5,0.2645108913135349,1.935457961580829e-21,1.0232537825522074,-0.1648250343661348
19.0,0.2745488467772055,1.928789338035878e-21,1.0246194669746662,-0.1663195333469832
19.5,0.2844384801135907,1.922147694658312e-21,1.0263035407070953,-0.1676808564433322
20.0,0.2943426002772124,1.9136352088652777e-21,1.0278215853181298,-0.1690211737595524
20.5,0.3042872652961443,1.9014448525335597e-21,1.0289959236816688,-0.1703375066314811
21.0,0.3141918464710955,1.886225069761821e-21,1.030101121442468,-0.1715866752227217
21.5,0.3240591226655399,1.869761246300029e-21,1.031331124325448,-0.1728205478792933
22.0,0.3338918727429516,1.853838767898152e-21,1.0328798780555286,-0.1740909929472152
22.5,0.3436909069373617,1.838754662863472e-21,1.0350144626907467,-0.1754074872356527
23.0,0.3534550566925633,1.8236158972400344e-21,1.0377872954044471,-0.1767446260801238
23.5,0.3631841326866735,1.8084227633829577e-21,1.0410703275945117,-0.1781019556161763
24.0,0.3728779455978093,1.7931755536473564e-21,1.0447355106588214,-0.1794790219793582
24.5,0.3825363061040877,1.777874560388348e-21,1.0486547959952586,-0.1808753713052172
